date,shift,machine_id,output_units,target_units,downtime_minutes,employees_present,quality_good_units,quality_total_units,unit_price,material_cost_per_unit,labor_cost,material_cost,downtime_cost,total_cost,revenue,profit
2025-01-01,1,1,84,118,51,4,81,84,177.9691000272769,59.84250789732435,640,5026.770663375246,425.0,6091.770663375246,14949.40440229126,8857.633738916014
2025-01-01,2,1,74,98,22,4,72,74,186.6176145774935,60.05575058716044,640,4444.125543449873,183.33333333333331,5267.458876783206,13809.703478734518,8542.244601951312
2025-01-01,3,1,102,103,2,5,90,102,196.99098521619942,71.62213204002109,800,7305.457468082151,16.666666666666668,8122.124134748818,20093.08049205234,11970.956357303523
2025-01-01,1,2,116,117,1,5,98,116,130.42422429595376,56.2378215816119,800,6523.58730346698,8.333333333333334,7331.920636800313,15129.210018330636,7797.289381530322
2025-01-01,2,2,74,104,48,4,72,74,139.98609717152556,32.33328316068077,640,2392.662953890377,400.0,3432.662953890377,10358.971190692891,6926.308236802514
2025-01-01,3,2,92,95,14,5,91,92,178.51759613930136,39.98368910791799,800,3678.499397928455,116.66666666666667,4595.166064595122,16423.618844815726,11828.452780220603
2025-01-01,1,3,42,82,170,4,39,42,145.0499251969543,30.663248057993325,640,1287.8564184357197,1416.6666666666667,3344.523085102386,6092.09685827208,2747.5737731696936
2025-01-01,2,3,65,104,179,5,56,65,138.5416502539916,30.798312611010708,800,2001.890319715696,1491.6666666666667,4293.556986382363,9005.207266509455,4711.650280127092
2025-01-01,3,3,46,81,203,5,45,46,168.32635188254582,60.49983288913104,800,2782.992312900028,1691.6666666666667,5274.658979566695,7743.012186597108,2468.3532070304127
2025-01-01,1,4,62,87,46,4,52,62,125.8779981600017,63.1261142176991,640,3913.819081497344,383.33333333333337,4937.152414830677,7804.435885920105,2867.2834710894276
2025-01-01,2,4,80,81,5,5,77,80,156.77003278199913,31.56566462277793,800,2525.2531698222347,41.666666666666664,3366.919836488901,12541.60262255993,9174.68278607103
2025-01-01,3,4,91,97,25,5,78,91,139.51502360018145,76.33294328968971,800,6946.297839361763,208.33333333333334,7954.631172695096,12695.867147616513,4741.2359749214165
2025-01-01,1,5,79,110,47,4,74,79,157.04439744053994,56.041713001291185,640,4427.295327102003,391.6666666666667,5458.96199376867,12406.507397802656,6947.5454040339855
2025-01-01,2,5,114,119,20,5,108,114,127.13490317738959,71.43687545759647,800,8143.803802165998,166.66666666666666,9110.470468832664,14493.378962222414,5382.90849338975
2025-01-01,3,5,99,105,24,5,95,99,154.26960831582485,37.04621124873813,800,3667.574913625075,200.0,4667.574913625075,15272.69122326666,10605.116309641584
2025-01-02,1,1,68,94,44,4,65,68,198.68869366005174,68.61223846483287,640,4665.632215608635,366.66666666666663,5672.298882275302,13510.831168883518,7838.532286608216
2025-01-02,2,1,66,87,23,4,58,66,170.6857343847617,66.45035840204937,640,4385.723654535259,191.66666666666669,5217.390321201926,11265.258469394272,6047.868148192346
2025-01-02,3,1,78,112,58,4,75,78,135.84657285442725,35.79345297625649,640,2791.8893321480064,483.3333333333333,3915.22266548134,10596.032682645326,6680.810017163985
2025-01-02,1,2,84,86,8,5,82,84,133.08980248526493,33.177917514301186,800,2786.9450712012995,66.66666666666667,3653.611737867966,11179.543408762254,7525.931670894288
2025-01-02,2,2,77,102,23,4,67,77,159.1297787707727,43.73608964950321,640,3367.678903011747,191.66666666666669,4199.345569678414,12252.992965349498,8053.647395671084
2025-01-02,3,2,91,114,0,4,81,91,197.17120953891038,72.4456912133042,640,6592.557900410682,0.0,7232.557900410682,17942.580068040843,10710.02216763016
2025-01-02,1,3,63,84,25,4,59,63,104.04335895384314,65.53314448428937,640,4128.58810251023,208.33333333333334,4976.921435843563,6554.7316140921175,1577.8101782485546
2025-01-02,2,3,96,105,41,5,93,96,120.17192023353962,74.78817978367597,800,7179.665259232894,341.6666666666667,8321.33192589956,11536.504342419805,3215.172416520245
2025-01-02,3,3,110,111,3,5,97,110,124.92922291488749,50.519146151781484,800,5557.106076695964,25.0,6382.106076695964,13742.214520637624,7360.108443941661
2025-01-02,1,4,80,108,35,4,74,80,128.9751452913768,38.06106436270022,640,3044.8851490160177,291.6666666666667,3976.5518156826843,10318.011623310143,6341.45980762746
2025-01-02,2,4,59,81,41,4,58,59,110.54942598302706,52.82672852414551,640,3116.776982924585,341.6666666666667,4098.443649591251,6522.416132998596,2423.972483407345
2025-01-02,3,4,93,99,29,5,89,93,132.4345021005274,36.104397735033665,800,3357.708989358131,241.66666666666666,4399.3756560247975,12316.408695349048,7917.03303932425
2025-01-02,1,5,95,104,38,5,80,95,127.21322493846353,62.38450602706811,800,5926.528072571471,316.66666666666663,7043.194739238138,12085.256369154034,5042.061629915896
2025-01-02,2,5,67,92,40,4,62,67,116.46558531429417,56.7044709687721,640,3799.1995549077305,333.3333333333333,4772.532888241064,7803.19421605771,3030.661327816646
2025-01-02,3,5,86,116,32,4,82,86,133.7615171403628,77.14548519562595,640,6634.511726823832,266.6666666666667,7541.178393490499,11503.4904740712,3962.312080580702
2025-01-03,1,1,103,111,31,5,95,103,140.3836171058041,33.24461235544908,800,3424.195072611255,258.33333333333337,4482.5284059445885,14459.512561897822,9976.984155953232
2025-01-03,2,1,83,91,38,5,72,83,130.08783098167697,44.24202471887338,800,3672.0880516664906,316.66666666666663,4788.754718333158,10797.28997147919,6008.535253146031
2025-01-03,3,1,67,96,58,4,57,67,150.26790232288616,32.57393756249947,640,2182.453816687464,483.3333333333333,3305.7871500207975,10067.949455633372,6762.1623056125745
2025-01-03,1,2,86,116,31,4,73,86,123.95618906669725,37.24474360456115,640,3203.047949992259,258.33333333333337,4101.381283325592,10660.232259735963,6558.850976410371
2025-01-03,2,2,98,105,31,5,89,98,167.21355474058785,68.08098076643589,800,6671.936115110717,258.33333333333337,7730.26944844405,16386.92836457761,8656.658916133558
2025-01-03,3,2,88,96,37,5,78,88,163.23058305935794,61.67648553804473,800,5427.530727347937,308.33333333333337,6535.86406068127,14364.2913092235,7828.42724854223
2025-01-03,1,3,81,90,47,5,68,81,115.07175439654294,55.40993883703594,800,4488.205045799911,391.6666666666667,5679.871712466578,9320.812106119978,3640.9403936534
2025-01-03,2,3,71,95,28,4,63,71,132.59589052018848,41.01205237827742,640,2911.8557188576965,233.33333333333334,3785.18905219103,9414.308226933383,5629.119174742353
2025-01-03,3,3,83,105,2,4,72,83,134.86659872917295,34.80882755457104,640,2889.132687029396,16.666666666666668,3545.7993536960626,11193.927694521355,7648.128340825293
2025-01-03,1,4,102,112,39,5,92,102,193.67299887367346,36.87604720729966,800,3761.3568151445656,325.0,4886.356815144565,19754.645885114693,14868.289069970127
2025-01-03,2,4,75,107,56,4,64,75,192.4693618278563,73.86696766904905,640,5540.022575178678,466.6666666666667,6646.689241845345,14435.202137089222,7788.512895243876
2025-01-03,3,4,112,114,6,5,110,112,181.7222200201216,57.760040579973115,800,6469.124544956989,50.0,7319.124544956989,20352.88864225362,13033.764097296631
2025-01-03,1,5,81,81,0,5,79,81,155.82934536070977,74.13181715946698,800,6004.677189916825,0.0,6804.677189916825,12622.176974217491,5817.499784300666
2025-01-03,2,5,64,88,40,4,56,64,172.59556788702395,74.85551299762886,640,4790.752831848247,333.3333333333333,5764.08616518158,11046.116344769533,5282.030179587952
2025-01-03,3,5,91,103,53,5,77,91,164.20316461542876,34.206998249752445,800,3112.8368407274725,441.66666666666663,4354.503507394139,14942.487980004018,10587.984472609878
2025-01-04,1,1,80,87,35,5,75,80,160.642905965959,30.459852580831484,800,2436.7882064665187,291.6666666666667,3528.454873133185,12851.43247727672,9322.977604143534
2025-01-04,2,1,77,104,34,4,66,77,116.08080514174986,57.436689468329305,640,4422.625089061356,283.3333333333333,5345.9584223946895,8938.221995914739,3592.2635735200492
2025-01-04,3,1,88,114,15,4,82,88,117.59252526773454,30.903768180776044,640,2719.531599908292,125.0,3484.531599908292,10348.14222356064,6863.610623652348
2025-01-04,1,2,89,93,20,5,78,89,136.64687845828598,67.20852615282811,800,5981.558827601702,166.66666666666666,6948.225494268369,12161.572182787453,5213.346688519084
2025-01-04,2,2,79,82,16,5,67,79,154.25402305548994,55.440703841938,800,4379.815603513102,133.33333333333334,5313.148936846435,12186.067821383705,6872.91888453727
